JUDET,UAT
CV,MUNICIPIUL TÂRGU SECUIESC
CV,OJDULA
CV,ORAŞ BARAOLT
CV,ORAŞ COVASNA
CV,ORAŞ ÎNTORSURA BUZĂULUI
CV,OZUN
CV,POIAN
CV,RECI
CV,SITA BUZĂULUI
CV,SÂNZIENI
CV,TURIA
CV,VALEA CRIŞULUI
CV,VALEA MARE
CV,VÂLCELE
CV,VÂRGHIŞ
CV,ZAGON
CV,ZĂBALA
DB,ANINOASA
DB,BEZDEAD
DB,BILCIUREŞTI
DB,BRANIŞTEA
DB,BREZOAELE
DB,BRĂNEŞTI
DB,BUCIUMENI
DB,BUCŞANI
DB,BUTIMANU
DB,BĂLENI
DB,BĂRBULEŢU
DB,CIOCĂNEŞTI
DB,COBIA
DB,COJASCA
DB,COMIŞANI
DB,CONŢEŞTI
DB,CORBII MARI
DB,CORNEŞTI
DB,CORNĂŢELU
DB,COSTEŞTII DIN VALE
DB,CREVEDIA
DB,CRÂNGURILE
DB,CÂNDEŞTI
DB,DOBRA
DB,DOICEŞTI
DB,DRAGODANA
DB,DRAGOMIREŞTI
DB,DĂRMĂNEŞTI
DB,FINTA
DB,GLODENI
DB,GURA FOII
DB,GURA OCNIŢEI
DB,GURA ŞUŢII
DB,HULUBEŞTI
DB,I. L. CARAGIALE
DB,IEDERA
DB,LUCIENI
DB,LUDEŞTI
DB,LUNGULEŢU
DB,MALU CU FLORI
DB,MOGOŞANI
DB,MOROENI
DB,MORTENI
DB,MOŢĂIENI
DB,MUNICIPIUL MORENI
DB,MUNICIPIUL TÂRGOVIŞTE
DB,MĂNEŞTI
DB,MĂTĂSARU
DB,NICULEŞTI
DB,NUCET
DB,OCNIŢA
DB,ODOBEŞTI
DB,ORAŞ FIENI
DB,ORAŞ GĂEŞTI
DB,ORAŞ PUCIOASA
DB,ORAŞ RĂCARI
DB,ORAŞ TITU
DB,PERŞINARI
DB,PETREŞTI
DB,PIETRARI
DB,PIETROŞIŢA
DB,POIANA
DB,POTLOGI
DB,PRODULEŞTI
DB,PUCHENI
DB,RACIU
DB,RUNCU
DB,RÂU ALB
DB,RĂSCĂEŢI
DB,RĂZVAD
DB,SLOBOZIA MOARĂ
DB,SĂLCIOARA
DB,TĂRTĂŞEŞTI
DB,TĂTĂRANI
DB,ULIEŞTI
DB,ULMI
DB,VALEA LUNGĂ
DB,VALEA MARE
DB,VIŞINA
DB,VIŞINEŞTI
DB,VLĂDENI
DB,VOINEŞTI
DB,VULCANA-BĂI
DB,VULCANA-PANDELE
DB,VÂRFURI
DB,VĂCĂREŞTI
DB,VĂLENI-DÂMBOVIŢA
DB,ŞELARU
DB,ŞOTÂNGA
DJ,AFUMAŢI
DJ,ALMĂJ
DJ,AMĂRĂŞTII DE JOS
DJ,AMĂRĂŞTII DE SUS
DJ,APELE VII
DJ,ARGETOAIA
DJ,BISTREŢ
DJ,BOTOŞEŞTI-PAIA
DJ,BRABOVA
DJ,BRALOŞTIŢA
DJ,BRATOVOEŞTI
DJ,BREASTA
DJ,BRĂDEŞTI
DJ,BUCOVĂŢ
DJ,BULZEŞTI
DJ,BÂRCA
DJ,CALOPĂR
DJ,CARAULA
DJ,CARPEN
DJ,CASTRANOVA
DJ,CATANE
DJ,CELARU
DJ,CERNĂTEŞTI
DJ,CERĂT
DJ,CETATE
DJ,CIOROIAŞI
DJ,CIUPERCENII NOI
DJ,COŞOVENI
DJ,COŢOFENII DIN DOS
DJ,COŢOFENII DIN FAŢĂ
DJ,CÂRCEA
DJ,CÂRNA
DJ,CĂLĂRAŞI
DJ,DANEŢI
DJ,DESA
DJ,DIOŞTI
DJ,DOBREŞTI
DJ,DOBROTEŞTI
DJ,DRĂGOTEŞTI
DJ,DRĂNIC
DJ,FĂRCAŞ
DJ,GALICEA MARE
DJ,GALICIUICA
DJ,GHERCEŞTI
DJ,GHIDICI
DJ,GHINDENI
DJ,GIGHERA
DJ,GIUBEGA
DJ,GIURGIŢA
DJ,GOGOŞU
DJ,GOICEA
DJ,GOIEŞTI
DJ,GRECEŞTI
DJ,GÂNGIOVA
DJ,IZVOARE
DJ,IŞALNIŢA
DJ,LEU
DJ,LIPOVU
DJ,MAGLAVIT
DJ,MALU MARE
DJ,MELINEŞTI
DJ,MISCHII
DJ,MOŢĂŢEI
DJ,MUNICIPIUL BĂILEŞTI
DJ,MUNICIPIUL CALAFAT
DJ,MUNICIPIUL CRAIOVA
DJ,MURGAŞI
DJ,MÂRŞANI
DJ,MĂCEŞU DE JOS
DJ,MĂCEŞU DE SUS
DJ,NEGOI
DJ,ORAŞ BECHET
DJ,ORAŞ DĂBULENI
DJ,ORAŞ FILIAŞI
DJ,ORAŞ ŞEGARCEA
DJ,ORODEL
DJ,OSTROVENI
DJ,PERIŞOR
DJ,PIELEŞTI
DJ,PISCU VECHI
DJ,PLENIŢA
DJ,PLEŞOI
DJ,PODARI
DJ,POIANA MARE
DJ,PREDEŞTI
DJ,RADOVAN
DJ,RAST
DJ,ROBĂNEŞTI
DJ,ROJIŞTE
DJ,SADOVA
DJ,SCĂEŞTI
DJ,SEACA DE CÂMP
DJ,SEACA DE PĂDURE
DJ,SECU
DJ,SILIŞTEA CRUCII
DJ,SOPOT
DJ,SĂLCUŢA
DJ,TEASC
DJ,TERPEZIŢA
DJ,TESLUI
DJ,TĂLPAŞ
DJ,UNIREA
DJ,URZICUŢA
DJ,VALEA STANCIULUI
DJ,VELA
DJ,VERBIŢA
DJ,VÂRTOP
DJ,VÂRVORU DE JOS
DJ,ÎNTORSURA
DJ,ŞIMNICU DE SUS
DJ,ŢUGLUI
GJ,ALBENI
GJ,ALIMPEŞTI
GJ,ANINOASA
GJ,ARCANI
GJ,BAIA DE FIER
GJ,BENGEŞTI-CIOCADIA
GJ,BERLEŞTI
GJ,BOLBOŞI
GJ,BORĂSCU
GJ,BRĂNEŞTI
GJ,BUMBEŞTI-PIŢIC
GJ,BUSTUCHIN
GJ,BÂLTENI
GJ,BĂLEŞTI
GJ,BĂLĂNEŞTI
GJ,BĂRBĂTEŞTI
GJ,CIUPERCENI
GJ,CRASNA
GJ,CRUŞEŢ
GJ,CÂLNIC
GJ,CĂPRENI
GJ,CĂTUNELE
GJ,DRĂGOTEŞTI
GJ,DRĂGUŢEŞTI
GJ,DĂNCIULEŞTI
GJ,DĂNEŞTI
GJ,FĂRCĂŞEŞTI
GJ,GLOGOVA
GJ,GODINEŞTI
GJ,HUREZANI
GJ,IONEŞTI
GJ,JUPÂNEŞTI
GJ,LELEŞTI
GJ,LICURICI
GJ,LOGREŞTI
GJ,MUNICIPIUL MOTRU
GJ,MUNICIPIUL TÂRGU JIU
GJ,MUŞETEŞTI
GJ,MĂTĂSARI
GJ,NEGOMIR
GJ,ORAŞ BUMBEŞTI-JIU
GJ,ORAŞ NOVACI
GJ,ORAŞ ROVINARI
GJ,ORAŞ TISMANA
GJ,ORAŞ TURCENI
GJ,ORAŞ TÂRGU CĂRBUNEŞTI
GJ,ORAŞ ŢICLENI
GJ,PADEŞ
GJ,PEŞTIŞANI
GJ,PLOPŞORU
GJ,POLOVRAGI
GJ,PRIGORIA
GJ,ROŞIA DE AMARADIA
GJ,RUNCU
GJ,SAMARINEŞTI
GJ,SCHELA
GJ,SCOARŢA
GJ,SLIVILEŞTI
GJ,STEJARI
GJ,STOINA
GJ,STĂNEŞTI
GJ,SĂCELU
GJ,SĂULEŞTI
GJ,TELEŞTI
GJ,TURBUREA
GJ,TURCINEŞTI
GJ,URDARI
GJ,VLADIMIR
GJ,VĂGIULEŞTI
GJ,ŢÂNŢĂRENI
GL,BARCEA
GL,BEREŞTI-MERIA
GL,BRANIŞTEA
GL,BRĂHĂŞEŞTI
GL,BUCIUMENI
GL,BĂLENI
GL,BĂLĂBĂNEŞTI
GL,BĂLĂŞEŞTI
GL,BĂNEASA
GL,CAVADINEŞTI
GL,CERŢEŞTI
GL,CORNI
GL,COROD
GL,COSMEŞTI
GL,COSTACHE NEGRI
GL,CUCA
GL,CUDALBI
GL,CUZA VODĂ
GL,DRĂGUŞENI
GL,DRĂGĂNEŞTI
GL,FOLTEŞTI
GL,FRUMUŞIŢA
GL,FUNDENI
GL,FÂRŢĂNEŞTI
GL,GHIDIGENI
GL,GOHOR
GL,GRIVIŢA
GL,INDEPENDENŢA
GL,IVEŞTI
GL,JORĂŞTI
GL,LIEŞTI
GL,MATCA
GL,MOVILENI
GL,MUNICIPIUL GALAŢI
GL,MUNICIPIUL TECUCI
GL,MUNTENI
GL,MĂSTĂCANI
GL,NEGRILEŞTI
GL,NICOREŞTI
GL,NĂMOLOASA
GL,OANCEA
GL,ORAŞ BEREŞTI
GL,ORAŞ TÂRGU BUJOR
GL,PECHEA
GL,PISCU
GL,POIANA
GL,PRIPONEŞTI
GL,REDIU
GL,RĂDEŞTI
GL,SCHELA
GL,SCÂNTEIEŞTI
GL,SLOBOZIA CONACHI
GL,SMULŢI
GL,SMÂRDAN
GL,SUCEVENI
GL,SUHURLUI
GL,TUDOR VLADIMIRESCU
GL,TULUCEŞTI
GL,UMBRĂREŞTI
GL,VALEA MĂRULUI
GL,VLĂDEŞTI
GL,VÂNĂTORI
GL,VÂRLEZI
GL,ŞENDRENI
GL,ŢEPU
GR,ADUNAŢII-COPĂCENI
GR,BOLINTIN-DEAL
GR,BUCŞANI
GR,BULBUCATA
GR,BUTURUGENI
GR,BĂNEASA
GR,CLEJANI
GR,COLIBAŞI
GR,COMANA
GR,COSOBA
GR,CREVEDIA MARE
GR,CĂLUGĂRENI
GR,DAIA
GR,FLOREŞTI-STOENEŞTI
GR,FRĂTEŞTI
GR,GHIMPAŢI
GR,GOGOŞARI
GR,GOSTINARI
GR,GOSTINU
GR,GREACA
GR,GRĂDINARI
GR,GĂISENI
GR,GĂUJANI
GR,HERĂŞTI
GR,HOTARELE
GR,IEPUREŞTI
GR,ISVOARELE
GR,IZVOARELE
GR,JOIŢA
GR,LETCA NOUĂ
GR,MALU
GR,MIHAI BRAVU
GR,MUNICIPIUL GIURGIU
GR,MÂRŞA
GR,OGREZENI
GR,OINACU
GR,ORAŞ BOLINTIN-VALE
GR,ORAŞ MIHĂILEŞTI
GR,PRUNDU
GR,PUTINEIU
GR,ROATA DE JOS
GR,RĂSUCENI
GR,SCHITU
GR,SINGURENI
GR,SLOBOZIA
GR,STOENEŞTI
GR,STĂNEŞTI
GR,SĂBĂRENI
GR,TOPORU
GR,ULMI
GR,VALEA DRAGULUI
GR,VEDEA
GR,VÂNĂTORII MICI
GR,VĂRĂŞTI
HD,BAIA DE CRIŞ
HD,BALŞA
HD,BARU
HD,BERIU
HD,BLĂJENI
HD,BOŞOROD
HD,BRETEA ROMÂNĂ
HD,BRĂNIŞCA
HD,BUCEŞ
HD,BUCUREŞCI
HD,BULZEŞTII DE SUS
HD,BUNILA
HD,BURJUC
HD,BĂCIA
HD,BĂIŢA
HD,BĂNIŢA
HD,BĂTRÂNA
HD,CERBĂL
HD,CERTEJU DE SUS
HD,CRIŞCIOR
HD,CÂRJIŢI
HD,DENSUŞ
HD,DOBRA
HD,GENERAL BERTHELOT
HD,GHELARI
HD,GURASADA
HD,HĂRĂU
HD,ILIA
HD,LELESE
HD,LUNCA CERNII DE JOS
HD,LUNCOIU DE JOS
HD,LĂPUGIU DE JOS
HD,MUNICIPIUL BRAD
HD,MUNICIPIUL DEVA
HD,MUNICIPIUL HUNEDOARA
HD,MUNICIPIUL LUPENI
HD,MUNICIPIUL ORĂŞTIE
HD,MUNICIPIUL PETROŞANI
HD,MUNICIPIUL VULCAN
HD,MĂRTINEŞTI
HD,ORAŞ ANINOASA
HD,ORAŞ CĂLAN
HD,ORAŞ GEOAGIU
HD,ORAŞ HAŢEG
HD,ORAŞ PETRILA
HD,ORAŞ SIMERIA
HD,ORAŞ URICANI
HD,ORĂŞTIOARA DE SUS
HD,PESTIŞU MIC
HD,PUI
HD,RAPOLTU MARE
HD,RIBIŢA
HD,ROMOS
HD,RÂU DE MORI
HD,RĂCHITOVA
HD,SARMIZEGETUSA
HD,SÂNTĂMĂRIA-ORLEA
HD,SĂLAŞU DE SUS
HD,TELIUCU INFERIOR
HD,TOMEŞTI
HD,TOPLIŢA
HD,TOTEŞTI
HD,TURDAŞ
HD,VAŢA DE JOS
HD,VEŢEL
HD,VORŢA
HD,VĂLIŞOARA
HD,ZAM
HD,ŞOIMUŞ
HR,ATID
HR,AVRĂMEŞTI
HR,BILBOR
HR,BRĂDEŞTI
HR,CICEU
HR,CIUCSÂNGEORGIU
HR,CIUMANI
HR,CORBU
HR,CORUND
HR,COZMENI
HR,CÂRŢA
HR,CĂPÂLNIŢA
HR,DEALU
HR,DITRĂU
HR,DÂRJIU
HR,DĂNEŞTI
HR,FELICENI
HR,FRUMOASA
HR,GĂLĂUŢAŞ
HR,JOSENI
HR,LELICENI
HR,LUETA
HR,LUNCA DE JOS
HR,LUNCA DE SUS
HR,LUPENI
HR,LĂZAREA
HR,MEREŞTI
HR,MIHĂILENI
HR,MUGENI
HR,MUNICIPIUL GHEORGHENI
HR,MUNICIPIUL MIERCUREA-CIUC
HR,MUNICIPIUL ODORHEIU SECUIESC
HR,MUNICIPIUL TOPLIŢA
HR,MĂDĂRAŞ
HR,MĂRTINIŞ
HR,OCLAND
HR,ORAŞ BORSEC
HR,ORAŞ BĂILE TUŞNAD
HR,ORAŞ BĂLAN
HR,ORAŞ CRISTURU SECUIESC
HR,ORAŞ VLĂHIŢA
HR,PLĂIEŞII DE JOS
HR,PORUMBENI
HR,PRAID
HR,PĂULENI-CIUC
HR,RACU
HR,REMETEA
HR,SATU MARE
HR,SECUIENI
HR,SICULENI
HR,SUBCETATE
HR,SUSENI
HR,SÂNCRĂIENI
HR,SÂNDOMINIC
HR,SÂNMARTIN
HR,SÂNSIMION
HR,SÂNTIMBRU
HR,SĂCEL
HR,SĂRMAŞ
HR,TOMEŞTI
HR,TULGHEŞ
HR,TUŞNAD
HR,ULIEŞ
HR,VOŞLĂBENI
HR,VĂRŞAG
HR,ZETEA
HR,ŞIMONEŞTI
IF,1 DECEMBRIE
IF,AFUMAŢI
IF,BALOTEŞTI
IF,BERCENI
IF,BRĂNEŞTI
IF,CERNICA
IF,CHIAJNA
IF,CIOLPANI
IF,CIOROGÂRLA
IF,CLINCENI
IF,COPĂCENI
IF,CORBEANCA
IF,CORNETU
IF,DASCĂLU
IF,DOBROEŞTI
IF,DOMNEŞTI
IF,DRAGOMIREŞTI-VALE
IF,DĂRĂŞTI-ILFOV
IF,GLINA
IF,GRUIU
IF,GRĂDIŞTEA
IF,GĂNEASA
IF,JILAVA
IF,MOARA VLĂSIEI
IF,MOGOŞOAIA
IF,NUCI
IF,ORAŞ BRAGADIRU
IF,ORAŞ BUFTEA
IF,ORAŞ CHITILA
IF,ORAŞ MĂGURELE
IF,ORAŞ OTOPENI
IF,ORAŞ PANTELIMON
IF,ORAŞ POPEŞTI-LEORDENI
IF,ORAŞ VOLUNTARI
IF,PERIŞ
IF,PETRĂCHIOAIA
IF,SNAGOV
IF,TUNARI
IF,VIDRA
IF,ŞTEFĂNEŞTII DE JOS
IL,ADÂNCATA
IL,ALBEŞTI
IL,ALEXENI
IL,ANDRĂŞEŞTI
IL,ARMĂŞEŞTI
IL,AXINTELE
IL,BALACIU
IL,BORDUŞANI
IL,BORĂNEŞTI
IL,BUCU
IL,BUEŞTI
IL,BĂRBULEŞTI
IL,BĂRCĂNEŞTI
IL,CIOCHINA
IL,CIOCÂRLIA
IL,CIULNIŢA
IL,COCORA
IL,COLELIA
IL,COSÂMBEŞTI
IL,COŞERENI
IL,DRIDU
IL,DRĂGOEŞTI
IL,FĂCĂENI
IL,GHEORGHE DOJA
IL,GHEORGHE LAZĂR
IL,GIURGENI
IL,GRINDU
IL,GRIVIŢA
IL,GURA IALOMIŢEI
IL,GÂRBOVI
IL,ION ROATĂ
IL,JILAVELE
IL,MAIA
IL,MANASIA
IL,MIHAIL KOGĂLNICEANU
IL,MILOŞEŞTI
IL,MOLDOVENI
IL,MOVILA
IL,MOVILIŢA
IL,MUNICIPIUL FETEŞTI
IL,MUNICIPIUL SLOBOZIA
IL,MUNICIPIUL URZICENI
IL,MUNTENI-BUZĂU
IL,MĂRCULEŞTI
IL,OGRADA
IL,ORAŞ AMARA
IL,ORAŞ CĂZĂNEŞTI
IL,ORAŞ FIERBINŢI-TÂRG
IL,ORAŞ ŢĂNDĂREI
IL,PERIEŢI
IL,PLATONEŞTI
IL,REVIGA
IL,ROŞIORI
IL,RĂDULEŞTI
IL,SCÂNTEIA
IL,SFÂNTU GHEORGHE
IL,SINEŞTI
IL,STELNICA
IL,SUDIŢI
IL,SĂLCIOARA
IL,SĂRĂŢENI
IL,SĂVENI
IL,TRAIAN
IL,VALEA CIORII
IL,VALEA MĂCRIŞULUI
IL,VLĂDENI
IS,ALEXANDRU I. CUZA
IS,ANDRIEŞENI
IS,ARONEANU
IS,BALŞ
IS,BELCEŞTI
IS,BIVOLARI
IS,BRĂEŞTI
IS,BUTEA
IS,BÂRNOVA
IS,BĂLŢAŢI
IS,CEPLENIŢA
IS,CIOHORĂNI
IS,CIORTEŞTI
IS,CIUREA
IS,COARNELE CAPREI
IS,COMARNA
IS,COSTEŞTI
IS,COSTULENI
IS,COTNARI
IS,COZMEŞTI
IS,CRISTEŞTI
IS,CUCUTENI
IS,DAGÂŢA
IS,DELENI
IS,DOBROVĂŢ
IS,DOLHEŞTI
IS,DRĂGUŞENI
IS,DUMEŞTI
IS,ERBICENI
IS,FOCURI
IS,FÂNTÂNELE
IS,GOLĂIEŞTI
IS,GORBAN
IS,GRAJDURI
IS,GROPNIŢA
IS,GROZEŞTI
IS,HELEŞTENI
IS,HOLBOCA
IS,HORLEŞTI
IS,HĂLĂUCEŞTI
IS,HĂRMĂNEŞTI
IS,ION NECULCE
IS,IPATELE
IS,LESPEZI
IS,LEŢCANI
IS,LUNGANI
IS,MIRCEŞTI
IS,MIRONEASA
IS,MIROSLAVA
IS,MIROSLOVEŞTI
IS,MOGOŞEŞTI
IS,MOGOŞEŞTI-SIRET
IS,MOVILENI
IS,MOŞNA
IS,MOŢCA
IS,MUNICIPIUL IAŞI
IS,MUNICIPIUL PAŞCANI
IS,MĂDÂRJAC
IS,ORAŞ HÂRLĂU
IS,ORAŞ PODU ILOAIEI
IS,ORAŞ TÂRGU FRUMOS
IS,OŢELENI
IS,PLUGARI
IS,POPEŞTI
IS,POPRICANI
IS,PRISĂCANI
IS,PROBOTA
IS,REDIU
IS,ROMÂNEŞTI
IS,ROŞCANI
IS,RUGINOASA
IS,RĂCHITENI
IS,RĂDUCĂNENI
IS,SCHITU DUCA
IS,SCOBINŢI
IS,SCÂNTEIA
IS,SINEŞTI
IS,SIREŢEL
IS,STOLNICENI-PRĂJESCU
IS,STRUNGA
IS,TANSA
IS,TODIREŞTI
IS,TOMEŞTI
IS,TRIFEŞTI
IS,TĂTĂRUŞI
IS,UNGHENI
IS,VALEA LUPULUI
IS,VALEA SEACĂ
IS,VICTORIA
IS,VLĂDENI
IS,VOINEŞTI
IS,VÂNĂTORI
IS,ŞCHEIA
IS,ŞIPOTE
IS,ŢIBANA
IS,ŢIBĂNEŞTI
IS,ŢIGĂNAŞI
IS,ŢUŢORA
MH,BALA
MH,BALTA
MH,BRANIŞTEA
MH,BREZNIŢA-MOTRU
MH,BREZNIŢA-OCOL
MH,BROŞTENI
MH,BURILA MARE
MH,BUTOIEŞTI
MH,BÂCLEŞ
MH,BÂLVĂNEŞTI
MH,BĂLĂCIŢA
MH,CIREŞU
MH,CORCOVA
MH,CORLĂŢEL
MH,CUJMIR
MH,CĂZĂNEŞTI
MH,DEVESEL
MH,DUBOVA
MH,DUMBRAVA
MH,DÂRVARI
MH,EŞELNIŢA
MH,FLOREŞTI
MH,GODEANU
MH,GOGOŞU
MH,GRECI
MH,GROZEŞTI
MH,GRUIA
MH,GÂRLA MARE
MH,HINOVA
MH,HUSNICIOARA
MH,ILOVIŢA
MH,ILOVĂŢ
MH,ISVERNA
MH,IZVORU BÂRZII
MH,JIANA
MH,LIVEZILE
MH,MALOVĂŢ
MH,MUNICIPIUL DROBETA-TURNU SEVERIN
MH,MUNICIPIUL ORŞOVA
MH,OBÂRŞIA DE CÂMP
MH,OBÂRŞIA-CLOŞANI
MH,OPRIŞOR
MH,ORAŞ BAIA DE ARAMĂ
MH,ORAŞ STREHAIA
MH,ORAŞ VÂNJU MARE
MH,PODENI
MH,PONOARELE
MH,POROINA MARE
MH,PRISTOL
MH,PRUNIŞOR
MH,PUNGHINA
MH,PĂDINA
MH,PĂTULELE
MH,ROGOVA
MH,SALCIA
MH,STÂNGĂCEAUA
MH,SVINIŢA
MH,TÂMNA
MH,VLĂDAIA
MH,VOLOIAC
MH,VRATA
MH,VÂNJULEŢ
MH,VÂNĂTORI
MH,ŞIMIAN
MH,ŞIŞEŞTI
MH,ŞOVARNA
MM,ARDUSAT
MM,ARINIŞ
MM,ASUAJU DE SUS
MM,BICAZ
MM,BISTRA
MM,BOCICOIU MARE
MM,BOGDAN VODĂ
MM,BOIU MARE
MM,BOTIZA
MM,BUDEŞTI
MM,BÂRSANA
MM,BĂIUŢ
MM,BĂIŢA DE SUB CODRU
MM,BĂSEŞTI
MM,CERNEŞTI
MM,CICÂRLĂU
MM,COAŞ
MM,COLTĂU
MM,COPALNIC-MĂNĂŞTUR
MM,COROIENI
MM,CUPŞENI
MM,CÂMPULUNG LA TISA
MM,CĂLINEŞTI
MM,DESEŞTI
MM,DUMBRĂVIŢA
MM,FĂRCAŞA
MM,GIULEŞTI
MM,GROŞI
MM,GROŞII ŢIBLEŞULUI
MM,GÂRDANI
MM,IEUD
MM,LEORDINA
MM,LĂPUŞ
MM,MIREŞU MARE
MM,MOISEI
MM,MUNICIPIUL BAIA MARE
MM,MUNICIPIUL SIGHETU MARMAŢIEI
MM,OARŢA DE JOS
MM,OCNA ŞUGATAG
MM,ONCEŞTI
MM,ORAŞ BAIA SPRIE
MM,ORAŞ BORŞA
MM,ORAŞ CAVNIC
MM,ORAŞ DRAGOMIREŞTI
MM,ORAŞ SEINI
MM,ORAŞ SĂLIŞTEA DE SUS
MM,ORAŞ TÂRGU LĂPUŞ
MM,ORAŞ TĂUŢII-MĂGHERĂUŞ
MM,ORAŞ ULMENI
MM,ORAŞ VIŞEU DE SUS
MM,ORAŞ ŞOMCUTA MARE
MM,PETROVA
MM,POIENILE DE SUB MUNTE
MM,POIENILE IZEI
MM,RECEA
MM,REMETEA CHIOARULUI
MM,REMEŢI
MM,REPEDEA
MM,RONA DE JOS
MM,RONA DE SUS
MM,ROZAVLEA
MM,RUSCOVA
MM,SARASĂU
MM,SATULUNG
MM,STRÂMTURA
MM,SUCIU DE SUS
MM,SĂCEL
MM,SĂCĂLĂŞENI
MM,SĂLSIG
MM,SĂPÂNŢA
MM,VADU IZEI
MM,VALEA CHIOARULUI
MM,VIMA MICĂ
MM,VIŞEU DE JOS
MM,ŞIEU
MM,ŞIŞEŞTI
MS,ACĂŢARI
MS,ADĂMUŞ
MS,ALBEŞTI
MS,ALUNIŞ
MS,APOLD
MS,AŢINTIŞ
MS,BAHNEA
MS,BAND
MS,BATOŞ
MS,BEICA DE JOS
MS,BERENI
MS,BICHIŞ
MS,BOGATA
MS,BREAZA
MS,BRÂNCOVENEŞTI
MS,BĂGACIU
MS,BĂLA
MS,BĂLĂUŞERI
MS,CEUAŞU DE CÂMPIE
MS,CHEŢANI
MS,CHIBED
MS,CHIHERU DE JOS
MS,COROISÂNMĂRTIN
MS,CORUNCA
MS,COZMA
MS,CRISTEŞTI
MS,CRĂCIUNEŞTI
MS,CRĂIEŞTI
MS,CUCERDEA
MS,CUCI
MS,DANEŞ
MS,DEDA
MS,EREMITU
MS,ERNEI
MS,FÂNTÂNELE
MS,FĂRĂGĂU
MS,GHEORGHE DOJA
MS,GHINDARI
MS,GLODENI
MS,GORNEŞTI
MS,GREBENIŞU DE CÂMPIE
MS,GURGHIU
MS,GĂLEŞTI
MS,GĂNEŞTI
MS,HODAC
MS,HODOŞA
MS,IBĂNEŞTI
MS,ICLĂNZEL
MS,IDECIU DE JOS
MS,LIVEZENI
MS,LUNCA
MS,LUNCA BRADULUI
MS,MICA
MS,MIHEŞU DE CÂMPIE
MS,MUNICIPIUL REGHIN
MS,MUNICIPIUL SIGHIŞOARA
MS,MUNICIPIUL TÂRGU MUREŞ
MS,MUNICIPIUL TÂRNĂVENI
MS,MĂDĂRAŞ
MS,MĂGHERANI
MS,NADEŞ
MS,NEAUA
MS,OGRA
MS,ORAŞ IERNUT
MS,ORAŞ LUDUŞ
MS,ORAŞ MIERCUREA NIRAJULUI
MS,ORAŞ SOVATA
MS,ORAŞ SÂNGEORGIU DE PĂDURE
MS,ORAŞ SĂRMAŞU
MS,ORAŞ UNGHENI
MS,PAPIU ILARIAN
MS,PETELEA
MS,POGĂCEAUA
MS,PĂNET
MS,PĂSĂRENI
MS,RUŞII-MUNŢI
MS,RÂCIU
MS,RĂSTOLIŢA
MS,SASCHIZ
MS,SOLOVĂSTRU
MS,STÂNCENI
MS,SUPLAC
MS,SUSENI
MS,SÂNCRAIU DE MUREŞ
MS,SÂNGEORGIU DE MUREŞ
MS,SÂNGER
MS,SÂNPAUL
MS,SÂNPETRU DE CÂMPIE
MS,SÂNTANA DE MUREŞ
MS,SĂRĂŢENI
MS,TĂURENI
MS,VALEA LARGĂ
MS,VEŢCA
MS,VIIŞOARA
MS,VOIVODENI
MS,VÂNĂTORI
MS,VĂRGATA
MS,VĂTAVA
MS,ZAGĂR
MS,ZAU DE CÂMPIE
MS,ŞINCAI
MS,ŞĂULIA
NT,AGAPIA
NT,ALEXANDRU CEL BUN
NT,BAHNA
NT,BICAZ-CHEI
NT,BICAZU ARDELEAN
NT,BIRA
NT,BODEŞTI
NT,BOGHICEA
NT,BORCA
NT,BORLEŞTI
NT,BOTEŞTI
NT,BOZIENI
NT,BRUSTURI
NT,BÂRGĂUANI
NT,BĂLŢĂTEŞTI
NT,CEAHLĂU
NT,CORDUN
NT,COSTIŞA
NT,CRĂCĂOANI
NT,CÂNDEŞTI
NT,DOBRENI
NT,DOCHIA
NT,DOLJEŞTI
NT,DRAGOMIREŞTI
NT,DRĂGĂNEŞTI
NT,DULCEŞTI
NT,DUMBRAVA ROŞIE
NT,DĂMUC
NT,FARCAŞA
NT,FĂUREI
NT,GHERĂEŞTI
NT,GHINDĂOANI
NT,GIROV
NT,GRINŢIEŞ
NT,GRUMĂZEŞTI
NT,GÂDINŢI
NT,GÂRCINA
NT,HANGU
NT,HORIA
NT,ICUŞEŞTI
NT,ION CREANGĂ
NT,MOLDOVENI
NT,MUNICIPIUL PIATRA-NEAMŢ
NT,MUNICIPIUL ROMAN
NT,MĂRGINENI
NT,NEGREŞTI
NT,ONICENI
NT,ORAŞ BICAZ
NT,ORAŞ ROZNOV
NT,ORAŞ TÂRGU-NEAMŢ
NT,PETRICANI
NT,PIATRA ŞOIMULUI
NT,PIPIRIG
NT,PODOLENI
NT,POIANA TEIULUI
NT,POIENARI
NT,PÂNCEŞTI
NT,PÂNGĂRAŢI
NT,PĂSTRĂVENI
NT,REDIU
NT,ROMÂNI
NT,RUGINOASA
NT,RĂUCEŞTI
NT,RĂZBOIENI
NT,SAGNA
NT,SECUIENI
NT,STĂNIŢA
NT,SĂBĂOANI
NT,SĂVINEŞTI
NT,TARCĂU
NT,TAZLĂU
NT,TAŞCA
NT,TIMIŞEŞTI
NT,TRIFEŞTI
NT,TUPILAŢI
NT,TĂMĂŞENI
NT,URECHENI
NT,VALEA URSULUI
NT,VÂNĂTORI-NEAMŢ
NT,VĂLENI
NT,ZĂNEŞTI
NT,ŞTEFAN CEL MARE
NT,ŢIBUCANI
